originalContent,correctedSentence,changes,temp_lower
"build separate Finally, tumor, match against tumor model, see whether looks more had seen set.","Build separate models for each tumour type. Finally, match the tumour against the tumour model, and see whether it looks more like the tumours in the training set.","<b> Build </b> separate <b> models for each tumour type. </b> Finally, match <b> the tumour </b> against <b> the tumour </b> model, <b> and </b> see whether <b> it </b> looks more <b> like the tumours in the training </b> set.","<b> build </b> separate <b> models for each tumour type. </b> finally, match <b> the tumour </b> against <b> the tumour </b> model, <b> and </b> see whether <b> it </b> looks more <b> like the tumours in the training </b> set."
try directly such mapping from input space X labels are called discriminative algorithms.,"Try to directly map from the input space X to the labels, which are called discriminative algorithms.","<b> Try to </b> directly <b> map </b> from <b> the </b> input space X <b> to the labels, which </b> are called discriminative algorithms.","<b> try to </b> directly <b> map </b> from <b> the </b> input space x <b> to the labels, which </b> are called discriminative algorithms."
instead Pxy Py.,"Instead, Pxy = Py.","<b> Instead, </b> Pxy <b> = </b> Py.","<b> instead, </b> pxy <b> = </b> py."
"These generative if indicates example 0 1, then Pxy0 models features, while Pxy1 features.","These generative models indicate that, for example, Pxy0 models the features of class 0, while Pxy1 models the features of class 1.","These generative <b> models indicate that, for example, </b> Pxy0 models <b> the features of class 0, </b> while Pxy1 <b> models the features of class 1. </b>","these generative <b> models indicate that, for example, </b> pxy0 models <b> the features of class 0, </b> while pxy1 <b> models the features of class 1. </b>"
The also learns prior Py independent probability y.,"The model also learns the prior probability Py, which is independent of y.","The <b> model </b> also learns <b> the </b> prior <b> probability Py, which is </b> independent <b> of </b> y.","the <b> model </b> also learns <b> the </b> prior <b> probability py, which is </b> independent <b> of </b> y."
"To illustrate concept using practical when patient walks into hospital, before doctors even them, odds their versus referred prior.","To illustrate this concept, consider a practical example: when a patient walks into a hospital, before the doctors even see them, the odds of their having a particular disease versus not having it are referred to as the prior probability.","To illustrate <b> this concept, consider a </b> practical <b> example: </b> when <b> a </b> patient walks into <b> a </b> hospital, before <b> the </b> doctors even <b> see </b> them, <b> the </b> odds <b> of </b> their <b> having a particular disease </b> versus <b> not having it are </b> referred <b> to as the prior probability. </b>","to illustrate <b> this concept, consider a </b> practical <b> example: </b> when <b> a </b> patient walks into <b> a </b> hospital, before <b> the </b> doctors even <b> see </b> them, <b> the </b> odds <b> of </b> their <b> having a particular disease </b> versus <b> not having it are </b> referred <b> to as the prior probability. </b>"
"Thus, builds each isolation.","Thus, the model builds each in isolation.","Thus, <b> the model </b> builds each <b> in </b> isolation.","thus, <b> the model </b> builds each <b> in </b> isolation."
"At test time, evaluates models, identifies matches most closely returns prediction.","At test time, the model evaluates the models, identifies which one matches most closely, and returns the prediction.","At test time, <b> the model </b> evaluates <b> the </b> models, identifies <b> which one </b> matches most <b> closely, and </b> returns <b> the </b> prediction.","at test time, <b> the model </b> evaluates <b> the </b> models, identifies <b> which one </b> matches most <b> closely, and </b> returns <b> the </b> prediction."
"After modeling priors Pxy, Bayes rule derive posterior x PyxPxyPyPx","After modelling the priors Pxy, we can derive the posterior probability x using Bayes' rule: Pyx = PxyPyPx","After <b> modelling the </b> priors Pxy, <b> we can </b> derive <b> the </b> posterior <b> probability </b> x <b> using Bayes' rule: Pyx = PxyPyPx </b>","after <b> modelling the </b> priors pxy, <b> we can </b> derive <b> the </b> posterior <b> probability </b> x <b> using bayes' rule: pyx = pxypypx </b>"
"Here, denominator by PxPxy1Py1Pxy0Py0, function quantities","Here, the denominator is given by Px = Pxy1Py1 + Pxy0Py0, which is a function of the quantities","Here, <b> the </b> denominator <b> is given </b> by <b> Px = Pxy1Py1 + Pxy0Py0, which is a </b> function <b> of the </b> quantities","here, <b> the </b> denominator <b> is given </b> by <b> px = pxy1py1 + pxy0py0, which is a </b> function <b> of the </b> quantities"
"Note learned part process calculating order make prediction, dont actually need calculate value Px since constant, doesnt appear there.","Note that the learned part of the process is calculating the order to make a prediction, but we don't actually need to calculate the value of Px since it is a constant and doesn't appear in the final prediction.","Note <b> that the </b> learned part <b> of the </b> process <b> is </b> calculating <b> the </b> order <b> to </b> make <b> a </b> prediction, <b> but we don't </b> actually need <b> to </b> calculate <b> the </b> value <b> of </b> Px since <b> it is a constant and doesn't </b> appear <b> in the final prediction. </b>","note <b> that the </b> learned part <b> of the </b> process <b> is </b> calculating <b> the </b> order <b> to </b> make <b> a </b> prediction, <b> but we don't </b> actually need <b> to </b> calculate <b> the </b> value <b> of </b> px since <b> it is a constant and doesn't </b> appear <b> in the final prediction. </b>"
"When making predictions algorithms, thus ignore computing save computation.","When making predictions, algorithms thus ignore computing Px to save computation.","When making <b> predictions, algorithms </b> thus ignore computing <b> Px to </b> save computation.","when making <b> predictions, algorithms </b> thus ignore computing <b> px to </b> save computation."
"However, end goal value, would compute be able normalize numerator.","However, the end goal is to compute the value of Px, which would allow us to normalise the numerator.","However, <b> the </b> end goal <b> is to compute the value of Px, which </b> would <b> allow us to normalise the </b> numerator.","however, <b> the </b> end goal <b> is to compute the value of px, which </b> would <b> allow us to normalise the </b> numerator."
PyxPxyPyPxPxyPy above equation represents underlying framework .,The equation Pyx = PxyPyPx represents the underlying framework.,<b> The </b> equation <b> Pyx = PxyPyPx </b> represents <b> the </b> underlying <b> framework. </b>,<b> the </b> equation <b> pyx = pxypypx </b> represents <b> the </b> underlying <b> framework. </b>
"Key takeaways Discriminative i.e., output input.","Key takeaways: discriminative models, i.e., output is a function of input.","Key <b> takeaways: discriminative models, </b> i.e., output <b> is a function of </b> input.","key <b> takeaways: discriminative models, </b> i.e., output <b> is a function of </b> input."
"other words, hx0,1 directly.","In other words, hx is 0 or 1 directly.","<b> In </b> other words, <b> hx is 0 or 1 </b> directly.","<b> in </b> other words, <b> hx is 0 or 1 </b> directly."
"class, tumoridentification setting, may case them first discriminant analysis GDA, used continuousvalued say, classification.","In the case of tumour identification, we may use discriminant analysis (GDA) for continuous-valued classification.","<b> In the case of tumour identification, we </b> may <b> use </b> discriminant analysis <b> (GDA) for continuous-valued </b> classification.","<b> in the case of tumour identification, we </b> may <b> use </b> discriminant analysis <b> (gda) for continuous-valued </b> classification."
assume distributed according multivariate normal distribution.,We assume that the data is distributed according to a multivariate normal distribution.,<b> We </b> assume <b> that the data is </b> distributed according <b> to a </b> multivariate normal distribution.,<b> we </b> assume <b> that the data is </b> distributed according <b> to a </b> multivariate normal distribution.
briefly properties distributions moving GDA itself.,We will briefly discuss the properties of the distributions and then move on to GDA itself.,<b> We will </b> briefly <b> discuss the </b> properties <b> of the </b> distributions <b> and then move on to </b> GDA itself.,<b> we will </b> briefly <b> discuss the </b> properties <b> of the </b> distributions <b> and then move on to </b> gda itself.
"Multivariate Distribution generalization 1dimensional random variable ndimensional simply, nrandom variable.",A multivariate distribution is a generalisation of a 1-dimensional random variable to an n-dimensional random variable.,<b> A multivariate distribution is a generalisation of a 1-dimensional </b> random variable <b> to an n-dimensional random </b> variable.,<b> a multivariate distribution is a generalisation of a 1-dimensional </b> random variable <b> to an n-dimensional random </b> variable.
"rather than univariate variable, seeks multiple variables.","Rather than a univariate variable, it seeks multiple variables.","<b> Rather </b> than <b> a </b> univariate variable, <b> it </b> seeks multiple variables.","<b> rather </b> than <b> a </b> univariate variable, <b> it </b> seeks multiple variables."
"Assume Gaussian, i.e, XRn, parameterized mean vector Rn covariance matrix Rnn, symmetric positive semidefinite.","We assume that the data is Gaussian, i.e., X ~ Rn, parameterised by a mean vector in Rn and a covariance matrix in Rnn, which is symmetric and positive semidefinite.","<b> We assume that the data is </b> Gaussian, <b> i.e., X ~ Rn, parameterised by a </b> mean vector <b> in </b> Rn <b> and a </b> covariance matrix <b> in </b> Rnn, <b> which is </b> symmetric <b> and </b> positive semidefinite.","<b> we assume that the data is </b> gaussian, <b> i.e., x ~ rn, parameterised by a </b> mean vector <b> in </b> rn <b> and a </b> covariance matrix <b> in </b> rnn, <b> which is </b> symmetric <b> and </b> positive semidefinite."
"Formally, written as, XN, density PDF PX,12n212exp12XT1X denotes determinant expected ExxPx,dx vectorvalued defined CovX EXET.","Formally, this can be written as X ~ N(μ, Σ), where the density PDF is given by PX(x) = (1/√(2π)^n) * exp(-1/2 * (x-μ)^T * Σ^(-1) * (x-μ)), where μ is the mean vector, Σ is the covariance matrix, and E[x] is the expected value of x.","Formally, <b> this can be </b> written <b> as X ~ N(μ, Σ), where the </b> density PDF <b> is given by PX(x) = (1/√(2π)^n) * exp(-1/2 * (x-μ)^T * Σ^(-1) * (x-μ)), where μ is the mean vector, Σ is the covariance matrix, and E[x] is the </b> expected <b> value of x. </b>","formally, <b> this can be </b> written <b> as x ~ n(μ, σ), where the </b> density pdf <b> is given by px(x) = (1/√(2π)^n) * exp(-1/2 * (x-μ)^t * σ^(-1) * (x-μ)), where μ is the mean vector, σ is the covariance matrix, and e[x] is the </b> expected <b> value of x. </b>"
Covariance generalizes notion variance realvalued setting.,Covariance generalises the notion of variance in the real-valued setting.,Covariance <b> generalises the </b> notion <b> of </b> variance <b> in the real-valued </b> setting.,covariance <b> generalises the </b> notion <b> of </b> variance <b> in the real-valued </b> setting.
EEET.,E[E^T] = E[E]E^T.,<b> E[E^T] = E[E]E^T. </b>,<b> e[e^t] = e[e]e^t. </b>
Since CovX.,"Since Cov(X) = E[(X-E[X])(X-E[X])^T],","Since <b> Cov(X) = E[(X-E[X])(X-E[X])^T], </b>","since <b> cov(x) = e[(x-e[x])(x-e[x])^t], </b>"
explore some visualize Recall familiar,Let's explore some visualisations. Recall the familiar,<b> Let's </b> explore some <b> visualisations. </b> Recall <b> the </b> familiar,<b> let's </b> explore some <b> visualisations. </b> recall <b> the </b> familiar
"Similarly, multivariable represented same bellshaped curve two parameters control PDF, but ndimensions.","Similarly, a multivariate distribution can be represented by the same bell-shaped curve, but with two parameters controlling the PDF in n dimensions.","Similarly, <b> a multivariate distribution can be </b> represented <b> by the </b> same <b> bell-shaped curve, but with </b> two parameters <b> controlling the PDF in n dimensions. </b>","similarly, <b> a multivariate distribution can be </b> represented <b> by the </b> same <b> bell-shaped curve, but with </b> two parameters <b> controlling the pdf in n dimensions. </b>"
"e.g., 2dimensional over 2 variables, 2dimensional, size 22.","For example, a 2-dimensional distribution over 2 variables has a size of 2x2.","<b> For example, a 2-dimensional distribution </b> over 2 <b> variables has a </b> size <b> of 2x2. </b>","<b> for example, a 2-dimensional distribution </b> over 2 <b> variables has a </b> size <b> of 2x2. </b>"
below figure shows zero 21 zerovector I 22 identity matrix.,"The figure below shows a zero-mean vector, a 2x1 zero vector, and a 2x2 identity matrix.","<b> The figure </b> below shows <b> a zero-mean vector, a 2x1 </b> zero <b> vector, and a 2x2 </b> identity matrix.","<b> the figure </b> below shows <b> a zero-mean vector, a 2x1 </b> zero <b> vector, and a 2x2 </b> identity matrix."
A standard 0.6I.,A standard deviation of 0.6I.,A standard <b> deviation of </b> 0.6I.,a standard <b> deviation of </b> 0.6i.
"essentially taken multiplied number has shrunk variance, reduced variability 2I.","Essentially, the number has been multiplied by 0.6, which has shrunk the variance and reduced the variability. 2I.","<b> Essentially, the </b> number has <b> been multiplied by 0.6, which has </b> shrunk <b> the variance and </b> reduced <b> the variability. </b> 2I.","<b> essentially, the </b> number has <b> been multiplied by 0.6, which has </b> shrunk <b> the variance and </b> reduced <b> the variability. </b> 2i."
"From images, becomes larger, widershorter, smaller, compressedtaller.","From the images, we can see that as the covariance matrix becomes larger, the distribution becomes wider and shorter, and as it becomes smaller, the distribution becomes compressed and taller.","From <b> the </b> images, <b> we can see that as the covariance matrix </b> becomes larger, <b> the distribution becomes wider and shorter, and as it becomes </b> smaller, <b> the distribution becomes compressed and taller. </b>","from <b> the </b> images, <b> we can see that as the covariance matrix </b> becomes larger, <b> the distribution becomes wider and shorter, and as it becomes </b> smaller, <b> the distribution becomes compressed and taller. </b>"
"This because always integrates area under so scales spread vs. height figures show Gaussians corresponding matrices figures, increase offdiagonal entries compressed towards 45 x1x2.","This is because the area under the curve always integrates to 1, so as the spread increases, the height decreases, and vice versa. The figures show Gaussians corresponding to the matrices, and as the off-diagonal entries increase, the distribution becomes compressed towards the 45° line between x1 and x2.","This <b> is </b> because <b> the area under the curve </b> always integrates <b> to 1, </b> so <b> as the </b> spread <b> increases, the </b> height <b> decreases, and vice versa. The </b> figures show Gaussians corresponding <b> to the matrices, and as the off-diagonal </b> entries <b> increase, the distribution becomes </b> compressed towards <b> the 45° line between x1 and x2. </b>","this <b> is </b> because <b> the area under the curve </b> always integrates <b> to 1, </b> so <b> as the </b> spread <b> increases, the </b> height <b> decreases, and vice versa. the </b> figures show gaussians corresponding <b> to the matrices, and as the off-diagonal </b> entries <b> increase, the distribution becomes </b> compressed towards <b> the 45° line between x1 and x2. </b>"
"Geometrically speaking, implies variables positively correlated.","Geometrically speaking, this implies that the variables are positively correlated.","Geometrically speaking, <b> this </b> implies <b> that the </b> variables <b> are </b> positively correlated.","geometrically speaking, <b> this </b> implies <b> that the </b> variables <b> are </b> positively correlated."
"We clearly contours three densities 3D bumps saw above, should perfectly round circles, aspect ratio image probably little bit fatter places being","We can clearly see the contours of the three densities, which are 3D bumps. The aspect ratio of the image is probably a little bit fatter in some places, but the contours should be perfectly round circles.","We <b> can </b> clearly <b> see the </b> contours <b> of the </b> three <b> densities, which are </b> 3D <b> bumps. The </b> aspect ratio <b> of the </b> image <b> is </b> probably <b> a </b> little bit fatter <b> in some places, but the contours should be perfectly round circles. </b>","we <b> can </b> clearly <b> see the </b> contours <b> of the </b> three <b> densities, which are </b> 3d <b> bumps. the </b> aspect ratio <b> of the </b> image <b> is </b> probably <b> a </b> little bit fatter <b> in some places, but the contours should be perfectly round circles. </b>"
"Heres another set along decreasing elements matrix, now again, opposite direction, 135 line.","Here's another set of images, this time with decreasing elements of the matrix, and again, in the opposite direction, along the 135° line.","<b> Here's </b> another set <b> of images, this time with </b> decreasing elements <b> of the </b> matrix, <b> and </b> again, <b> in the </b> opposite direction, <b> along the 135° </b> line.","<b> here's </b> another set <b> of images, this time with </b> decreasing elements <b> of the </b> matrix, <b> and </b> again, <b> in the </b> opposite direction, <b> along the 135° </b> line."
"Again, geometrically, endow negative correlation.","Again, geometrically, this endows the variables with a negative correlation.","Again, geometrically, <b> this endows the variables with a </b> negative correlation.","again, geometrically, <b> this endows the variables with a </b> negative correlation."
"vary parameters, tend form ellipses.","As we vary the parameters, the distribution tends to form ellipses.","<b> As we </b> vary <b> the </b> parameters, <b> the distribution tends to </b> form ellipses.","<b> as we </b> vary <b> the </b> parameters, <b> the distribution tends to </b> form ellipses."
By varying shift center around.,By varying the shift of the center around.,By varying <b> the </b> shift <b> of the </b> center around.,by varying <b> the </b> shift <b> of the </b> center around.
"Another values I, visualization PDFs follows carry out eigenvectors points principal axes ellipse contours.",Another way to visualise the PDFs is to carry out the eigenvectors and points of the principal axes of the ellipse contours.,Another <b> way to visualise the </b> PDFs <b> is to </b> carry out <b> the </b> eigenvectors <b> and </b> points <b> of the </b> principal axes <b> of the </b> ellipse contours.,another <b> way to visualise the </b> pdfs <b> is to </b> carry out <b> the </b> eigenvectors <b> and </b> points <b> of the </b> principal axes <b> of the </b> ellipse contours.
"takeaway As density, change spreadheight respectively.","The takeaway is that as the density changes, the spread and height change respectively.","<b> The </b> takeaway <b> is that as the density changes, the spread and height </b> change respectively.","<b> the </b> takeaway <b> is that as the density changes, the spread and height </b> change respectively."
"Model have consider task discussion, expressed equations Pxy1, Gaussians.","The model we have been considering for this task is expressed in terms of equations for Pxy1, which are Gaussians.","<b> The model we </b> have <b> been considering for this </b> task <b> is </b> expressed <b> in terms of </b> equations <b> for </b> Pxy1, <b> which are </b> Gaussians.","<b> the model we </b> have <b> been considering for this </b> task <b> is </b> expressed <b> in terms of </b> equations <b> for </b> pxy1, <b> which are </b> gaussians."
"On hand, Bernoulli takes 0,1.","On the other hand, the Bernoulli distribution takes values 0 and 1.","On <b> the other </b> hand, <b> the </b> Bernoulli <b> distribution </b> takes <b> values 0 and 1. </b>","on <b> the other </b> hand, <b> the </b> bernoulli <b> distribution </b> takes <b> values 0 and 1. </b>"
"by, xy0N0,xy1N1,yBernoulli 0, classes, vectors 1.","By the way, xy0 ~ N0, xy1 ~ N1, and y ~ Bernoulli(0, 1), where the classes are represented by vectors of length 1.","<b> By the way, xy0 ~ N0, xy1 ~ N1, and y ~ Bernoulli(0, 1), where the classes are represented by </b> vectors <b> of length </b> 1.","<b> by the way, xy0 ~ n0, xy1 ~ n1, and y ~ bernoulli(0, 1), where the classes are represented by </b> vectors <b> of length </b> 1."
Put were assuming representing means.,"Put simply, we were assuming that the means are represented by","Put <b> simply, we </b> were assuming <b> that the means are represented by </b>","put <b> simply, we </b> were assuming <b> that the means are represented by </b>"
You not commonly seen.,You may not have commonly seen this.,You <b> may </b> not <b> have </b> commonly <b> seen this. </b>,you <b> may </b> not <b> have </b> commonly <b> seen this. </b>
More section below.,More on this in the section below.,More <b> on this in the </b> section below.,more <b> on this in the </b> section below.
"fit your data, will define data.","To fit your data, we will define the data.","<b> To </b> fit your data, <b> we </b> will define <b> the </b> data.","<b> to </b> fit your data, <b> we </b> will define <b> the </b> data."
"R, 0Rn, 1Rn, Rnn.","R, 0 in Rn, 1 in Rn, and Rnn.","R, <b> 0 in Rn, 1 in Rn, and </b> Rnn.","r, <b> 0 in rn, 1 in rn, and </b> rnn."
"Writing distributions, Pyy11yPxy012n212exp12x0T1x0Pxy112n212exp12x1T1x1","Writing the distributions, Py(y=1) = Pxy0 ~ N(0, 1), Py(y=1) = Pxy1 ~ N(1, 1)","Writing <b> the </b> distributions, <b> Py(y=1) = Pxy0 ~ N(0, 1), Py(y=1) = Pxy1 ~ N(1, 1) </b>","writing <b> the </b> distributions, <b> py(y=1) = pxy0 ~ n(0, 1), py(y=1) = pxy1 ~ n(1, 1) </b>"
"exponential notation similar earlier Plugging Pxy0,Pxy1,Py0 Py1 formula easily ascertain particular example.","Using exponential notation similar to earlier, plugging in Pxy0, Pxy1, Py0, and Py1 into the formula, we can easily ascertain the particular example.","<b> Using </b> exponential notation similar <b> to earlier, plugging in Pxy0, Pxy1, Py0, and </b> Py1 <b> into the formula, we can </b> easily ascertain <b> the </b> particular example.","<b> using </b> exponential notation similar <b> to earlier, plugging in pxy0, pxy1, py0, and </b> py1 <b> into the formula, we can </b> easily ascertain <b> the </b> particular example."
"Suppose xi,yimi1.","Suppose we have xi and yi, for i = 1 to m.","Suppose <b> we have xi and yi, for i = 1 to m. </b>","suppose <b> we have xi and yi, for i = 1 to m. </b>"
"aforementioned going joint L, L,0,1,mi1Pxi,yi,0,1,mi1Pxiyi0,1,Pyi","The aforementioned joint likelihood L is given by L = ∏[P(xi, yi) for i = 1 to m] = ∏[P(xi|yi)P(yi) for i = 1 to m]","<b> The </b> aforementioned joint <b> likelihood L is given by L = ∏[P(xi, yi) for i = 1 to m] = ∏[P(xi|yi)P(yi) for i = 1 to m] </b>","<b> the </b> aforementioned joint <b> likelihood l is given by l = ∏[p(xi, yi) for i = 1 to m] = ∏[p(xi|yi)p(yi) for i = 1 to m] </b>"
"big difference cost functions compared choose ,0,1,, Px,y,0,1,.","There is a big difference between the cost functions. We choose to maximise the likelihood of the data, which is given by L = ∏[P(xi, yi) for i = 1 to m].","<b> There is a </b> big difference <b> between the </b> cost <b> functions. We </b> choose <b> to maximise the likelihood of the data, which is given by L = ∏[P(xi, yi) for i = 1 to m]. </b>","<b> there is a </b> big difference <b> between the </b> cost <b> functions. we </b> choose <b> to maximise the likelihood of the data, which is given by l = ∏[p(xi, yi) for i = 1 to m]. </b>"
"linear regression, generalized Pyx.","In linear regression, we generalise Pyx.","<b> In </b> linear regression, <b> we generalise </b> Pyx.","<b> in </b> linear regression, <b> we generalise </b> pyx."
loglikelihood data simply log L.,The log-likelihood of the data is simply log L.,<b> The log-likelihood of the </b> data <b> is </b> simply log L.,<b> the log-likelihood of the </b> data <b> is </b> simply log l.
",0,1,logmi1Pxi,yi,0,1,logmi1Pxiyi0,1,Pyi","The log-likelihood is given by log L = ∑[log P(xi, yi) for i = 1 to m] = ∑[log P(xi|yi)P(yi) for i = 1 to m]","<b> The log-likelihood is given by log L = ∑[log P(xi, yi) for i = 1 to m] = ∑[log P(xi|yi)P(yi) for i = 1 to m] </b>","<b> the log-likelihood is given by log l = ∑[log p(xi, yi) for i = 1 to m] = ∑[log p(xi|yi)p(yi) for i = 1 to m] </b>"
"respect take derivative equal solve expression yields maximum estimate be, mi1yim","Taking the derivative with respect to the parameters and setting it equal to zero, we can solve for the expression that yields the maximum likelihood estimate, which is given by μ = (1/m) * ∑[yi * xi for i = 1 to m]","<b> Taking the derivative with </b> respect <b> to the parameters and setting it </b> equal <b> to zero, we can </b> solve <b> for the </b> expression <b> that </b> yields <b> the </b> maximum <b> likelihood estimate, which is given by μ = (1/m) * ∑[yi * xi for i = 1 to m] </b>","<b> taking the derivative with </b> respect <b> to the parameters and setting it </b> equal <b> to zero, we can </b> solve <b> for the </b> expression <b> that </b> yields <b> the </b> maximum <b> likelihood estimate, which is given by μ = (1/m) * ∑[yi * xi for i = 1 to m] </b>"
An intuitive explanation around maximizes follows.,An intuitive explanation of how this maximises the likelihood follows.,An intuitive explanation <b> of how this maximises the likelihood </b> follows.,an intuitive explanation <b> of how this maximises the likelihood </b> follows.
"example, chance next office denoted bias coin toss fraction heads Likewise, just label y1.","For example, the chance of the next office being occupied is denoted by the bias of a coin toss, which is the fraction of heads. Likewise, we just label y as 1.","<b> For </b> example, <b> the </b> chance <b> of the </b> next office <b> being occupied is </b> denoted <b> by the </b> bias <b> of a </b> coin <b> toss, which is the </b> fraction <b> of heads. </b> Likewise, <b> we </b> just label <b> y as 1. </b>","<b> for </b> example, <b> the </b> chance <b> of the </b> next office <b> being occupied is </b> denoted <b> by the </b> bias <b> of a </b> coin <b> toss, which is the </b> fraction <b> of heads. </b> likewise, <b> we </b> just label <b> y as 1. </b>"
"way write indicator notation, mi11yi1m 1 argument true, otherwise 0.","We can write this in indicator notation as 1(yi = 1) = 1 if the argument is true, and 0 otherwise.","<b> We can </b> write <b> this in </b> indicator <b> notation as 1(yi = 1) = </b> 1 <b> if the </b> argument <b> is </b> true, <b> and 0 otherwise. </b>","<b> we can </b> write <b> this in </b> indicator <b> notation as 1(yi = 1) = </b> 1 <b> if the </b> argument <b> is </b> true, <b> and 0 otherwise. </b>"
true statement false equivalent ifstatement programming context.,This is equivalent to a true statement being false in an if-statement in a programming context.,<b> This is equivalent to a </b> true statement <b> being </b> false <b> in an if-statement in a </b> programming context.,<b> this is equivalent to a </b> true statement <b> being </b> false <b> in an if-statement in a </b> programming context.
"0,1 is, 0mi11yi0ximi11yi01mi11yi1","0 or 1 is given by 0 if yi = 0, and 1 if yi = 1.","<b> 0 or 1 is given by 0 if yi = 0, and 1 if yi = 1. </b>","<b> 0 or 1 is given by 0 if yi = 0, and 1 if yi = 1. </b>"
"intuition expression, think all say dataset.",The intuition behind this expression is to think about all the data points in the dataset.,<b> The </b> intuition <b> behind this expression is to </b> think <b> about </b> all <b> the data points in the </b> dataset.,<b> the </b> intuition <b> behind this expression is to </b> think <b> about </b> all <b> the data points in the </b> dataset.
"reasonable examples, 0s average writing intuition.",A reasonable example is to take the average of the 0s and 1s in the dataset.,<b> A </b> reasonable <b> example is to take the average of the </b> 0s <b> and 1s in the dataset. </b>,<b> a </b> reasonable <b> example is to take the average of the </b> 0s <b> and 1s in the dataset. </b>
"numerator sum feature sums entire summing i1m, uses instances yi0 times xi.","The numerator is the sum of the feature sums over the entire dataset, summing over all instances where yi = 0, and using the instances where yi = 1 times xi.","<b> The </b> numerator <b> is the </b> sum <b> of the </b> feature sums <b> over the </b> entire <b> dataset, </b> summing <b> over all </b> instances <b> where yi = 0, and using the instances where yi = 1 </b> times xi.","<b> the </b> numerator <b> is the </b> sum <b> of the </b> feature sums <b> over the </b> entire <b> dataset, </b> summing <b> over all </b> instances <b> where yi = 0, and using the instances where yi = 1 </b> times xi."
effect term whereas effectively zeroing term.,This has the effect of zeroing out the term.,<b> This has the </b> effect <b> of </b> zeroing <b> out the </b> term.,<b> this has the </b> effect <b> of </b> zeroing <b> out the </b> term.
